"","Year","GEOID","NAME","Median Age Estimate","moe"
"1","2009","1924600","Eldridge",32.5,2.1
"2","2009","1924645","Elgin",32.3,12.5
"3","2009","1924690","Elkader",51.4,7.5
"4","2009","1924735","Elkhart",29.8,2.9
"5","2009","1924780","Elk Horn",49.9,5.4
"6","2009","1924825","Elkport",13,25.2
"7","2009","1924870","Elk Run Heights",45.3,2.5
"8","2009","1924915","Elliott",36.8,11
"9","2009","1925005","Ellston",55.7,14.6
"10","2009","1925050","Ellsworth",31.4,3.8
"11","2009","1925095","Elma",54.2,7.3
"12","2009","1925365","Ely",33.5,2.4
"13","2009","1925500","Emerson",44.5,5.8
"14","2009","1925590","Emmetsburg",40.1,5.2
"15","2009","1925725","Epworth",32.7,3.8
"16","2009","1925815","Essex",45.3,7.9
"17","2009","1925860","Estherville",36.6,2
"18","2009","1925995","Evansdale",37.6,5.1
"19","2009","1926175","Everly",43.2,11.6
"20","2009","1926265","Exira",55.7,9.5
"21","2009","1926310","Exline",50.6,10.1
"22","2009","1926355","Fairbank",33.8,3.5
"23","2009","1926400","Fairfax",33.5,7.9
"24","2009","1926445","Fairfield",44.3,2.6
"25","2009","1926760","Farley",32.1,3.1
"26","2009","1926850","Farmersburg",41.7,9.4
"27","2009","1926895","Farmington",41.3,5.7
"28","2009","1926940","Farnhamville",54.3,8.6
"29","2009","1926985","Farragut",39.3,9.5
"30","2009","1927165","Fayette",21.6,1.7
"31","2009","1927210","Fenton",49.9,4.7
"32","2009","1927255","Ferguson",58.6,5.3
"33","2009","1927390","Fertile",36.6,5.7
"34","2009","1927975","Floris",32.5,32.3
"35","2009","1928020","Floyd",44.9,5.8
"36","2009","1928245","Fonda",45.4,7.3
"37","2009","1928290","Fontanelle",49.2,8.7
"38","2009","1928380","Forest City",40.6,3.4
"39","2009","1928425","Fort Atkinson",48.8,8.8
"40","2009","1928515","Fort Dodge",35.6,1.3
"41","2009","1928605","Fort Madison",41.6,1.3
"42","2009","1928650","Fostoria",50.5,15.6
"43","2009","1928740","Franklin",42.4,7.1
"44","2009","1928920","Fraser",42.3,12.9
"45","2009","1928965","Fredericksburg",41.8,7.9
"46","2009","1929010","Frederika",33.3,25.4
"47","2009","1929055","Fredonia",47,4.2
"48","2009","1929190","Fremont",30.8,5.2
"49","2009","1929280","Fruitland",34,2.5
"50","2009","1929550","Galt",56.8,2.7
"51","2009","1929595","Galva",40.5,11.9
"52","2009","1929685","Garber",37.6,10.9
"53","2009","1929775","Garden Grove",39.5,17.2
"54","2009","1929910","Garnavillo",42.4,7.2
"55","2009","1929955","Garner",38.1,4.1
"56","2009","1930000","Garrison",33.9,8
"57","2009","1930045","Garwin",37.9,11.4
"58","2009","1930135","Geneva",37.6,12.5
"59","2009","1930225","George",66.7,26.7
"60","2009","1930540","Gibson",39.3,10.3
"61","2009","1930630","Gilbert",35.8,5.1
"62","2009","1930675","Gilbertville",41.4,8.2
"63","2009","1930810","Gillett Grove",50.2,8.2
"64","2009","1930900","Gilman",40.3,9
"65","2009","1930945","Gilmore City",42.3,7.3
"66","2009","1931035","Gladbrook",44.7,5.3
"67","2009","1931350","Glenwood",40,3.5
"68","2009","1931395","Glidden",46.7,4.5
"69","2009","1931530","Goldfield",48.4,8.1
"70","2009","1931575","Goodell",45.5,8.2
"71","2009","1931665","Goose Lake",32,7.7
"72","2009","1931710","Gowrie",38.3,7.7
"73","2009","1944985","Libertyville",40.6,9.1
"74","2009","1945030","Lidderdale",56,26.6
"75","2009","1945165","Lime Springs",37.9,16
"76","2009","1945255","Lincoln",31.5,13.6
"77","2009","1945390","Linden",43.6,6.1
"78","2009","1945435","Lineville",47.9,12.3
"79","2009","1945480","Linn Grove",48.5,14.8
"80","2009","1945615","Lisbon",37.1,5.3
"81","2009","1945660","Liscomb",39.5,7.2
"82","2009","1945795","Little Rock",49.3,9.4
"83","2009","1945840","Little Sioux",43.4,14.3
"84","2009","1945975","Livermore",38.8,9.4
"85","2009","1946065","Lockridge",35,7.2
"86","2009","1946155","Logan",36.8,3.5
"87","2009","1946245","Lohrville",42.3,9.9
"88","2009","1946290","Lone Rock",56.9,7
"89","2009","1946335","Lone Tree",40,5.1
"90","2009","1946425","Long Grove",40.9,3.9
