"","NAME","gender","prc_under18E","prc_under18M","prc_over65E","prc_over65M"
"1","Ackley","Female",0.238197424892704,0.0603952423492152,0.246781115879828,0.0627293374871188
"2","Ackley","Male",0.232558139534884,0.0648058718552168,0.15374677002584,0.0400063751541087
"3","Ackworth","Female",0.422222222222222,0.32298759674997,0.144444444444444,0.223123173644702
"4","Ackworth","Male",0.206896551724138,0.253816406719119,0.189655172413793,0.352251564008278
"5","Adair","Female",0.252314814814815,0.129785837182234,0.203703703703704,0.0918080185882034
"6","Adair","Male",0.22877358490566,0.120927757756678,0.132075471698113,0.0686384763325291
"7","Adel","Female",0.242190242190242,0.0649551330681016,0.135486135486135,0.0439603662719051
"8","Adel","Male",0.337309476474486,0.077562041892124,0.0911199469847581,0.033090844219497
"9","Afton","Female",0.256637168141593,0.114841967531076,0.265486725663717,0.101357738389465
"10","Afton","Male",0.199134199134199,0.0930613812820893,0.149350649350649,0.0785371227721043
"11","Agency","Female",0.174825174825175,0.0965314319065537,0.241258741258741,0.0899142545738704
"12","Agency","Male",0.112299465240642,0.0893733211133592,0.288770053475936,0.125888381658545
"13","Ainsworth","Female",0.285714285714286,0.120685005491059,0.0863787375415282,0.0610747894286038
"14","Ainsworth","Male",0.34468085106383,0.155470960218006,0.112765957446809,0.0701217112848414
"15","Akron","Female",0.255542590431739,0.111053990257347,0.268378063010502,0.0913681537199927
"16","Akron","Male",0.194029850746269,0.0708062325841735,0.222388059701493,0.0943636177535439
"17","Albert City","Female",0.172077922077922,0.0970872508180758,0.344155844155844,0.135305391091009
"18","Albert City","Male",0.205696202531646,0.111585520596253,0.259493670886076,0.120006193248355
"19","Albia","Female",0.259222823413674,0.0739514579963436,0.20363994097393,0.0507199959962538
"20","Albia","Male",0.284508740204943,0.0715765769228713,0.15370705244123,0.0521338754169126
"21","Albion","Female",0.11854103343465,0.100051812289082,0.121580547112462,0.0706377666264771
"22","Albion","Male",0.166077738515901,0.126331587426524,0.148409893992933,0.0896710194004307
"23","Alburnett","Female",0.330254041570439,0.174601209462094,0.0993071593533487,0.0551010546775934
"24","Alburnett","Male",0.294765840220386,0.125132601885771,0.134986225895317,0.0799714134286574
"25","Alden","Female",0.222748815165877,0.0796373956049734,0.208530805687204,0.0764957057746234
"26","Alden","Male",0.254347826086956,0.0934395286753021,0.165217391304348,0.0943309700464592
"27","Alexander","Female",0.25,0.242727379128339,0.0795454545454545,0.175452832908281
"28","Alexander","Male",0.236559139784946,0.243618864899797,0.139784946236559,0.194908055192759
"29","Algona","Female",0.177615571776156,0.0356235408893001,0.322558220368439,0.0560066445991059
"30","Algona","Male",0.19604743083004,0.0402340306172214,0.208300395256917,0.0469295773417282
"31","Alleman","Female",0.121546961325967,0.0810380043828124,0.215469613259669,0.108288644694008
"32","Alleman","Male",0.214876033057851,0.137734896280773,0.177685950413223,0.078248620935602
"33","Allerton","Female",0.358407079646018,0.168067348348517,0.132743362831858,0.12542104525652
"34","Allerton","Male",0.271356783919598,0.150640987765585,0.180904522613065,0.123540619214211
"35","Allison","Female",0.179924242424242,0.0867848919390969,0.299242424242424,0.102034733688533
"36","Allison","Male",0.226351351351351,0.0939447439918781,0.184121621621622,0.0680217633320279
"37","Alta","Female",0.325454545454545,0.101801701588338,0.135454545454545,0.0407634670745005
"38","Alta","Male",0.283524904214559,0.0751879232203504,0.111111111111111,0.031128221434499
"39","Alta Vista","Female",0.0879120879120879,0.135667062493686,0.274725274725275,0.192602963424995
"40","Alta Vista","Male",0.144329896907216,0.20123402521469,0.288659793814433,0.198054846926846
"41","Alton","Female",0.231988472622478,0.0975244083718384,0.145533141210375,0.0553397341140547
"42","Alton","Male",0.236151603498542,0.0913346995390534,0.126822157434402,0.04382311976994
"43","Altoona","Female",0.245857456578159,0.0376002105002049,0.148333000598922,0.0312496319304208
"44","Altoona","Male",0.298381044280047,0.0478902243899252,0.10785890425646,0.0281018199767904
"45","Alvord","Female",0.277227722772277,0.233859787979633,0.257425742574257,0.178710443383744
"46","Alvord","Male",0.252173913043478,0.221594490929033,0.130434782608696,0.175050933504897
"47","Amana CDP, Iowa","Female",0.131147540983607,0.210408577313629,0.265573770491803,0.242567824810821
"48","Amana CDP, Iowa","Male",0.180722891566265,0.239303685070158,0.475903614457831,0.43316977911893
"49","Ames","Female",0.123431305088633,0.012789732132111,0.123103640355189,0.0150388034341612
"50","Ames","Male",0.111476159186355,0.0106287975397894,0.0885924063651687,0.0108920886521529
"51","Anamosa","Female",0.21340964840556,0.0631133812642855,0.219133278822567,0.0620199541419818
"52","Anamosa","Male",0.111919611919612,0.035959779837587,0.161815661815662,0.0443610515831407
"53","Anderson CDP, Iowa","Female",0.0909090909090909,0.824170420095603,0.181818181818182,1.06410374571308
"54","Anderson CDP, Iowa","Male",0.235294117647059,0.558630667224095,0.147058823529412,0.694159820292161
